Collection Object GUID,Prev/Exch #
dc1af035-1ed3-11e3-bfac-90b11c41863e,ANSP 130413
dc1f1dbb-1ed3-11e3-bfac-90b11c41863e,ANSP 130414
dc1f1218-1ed3-11e3-bfac-90b11c41863e,ANSP 130415
dc1f3b15-1ed3-11e3-bfac-90b11c41863e,ANSP 130416
dc1fffb8-1ed3-11e3-bfac-90b11c41863e,ANSP 130417
dc1ff857-1ed3-11e3-bfac-90b11c41863e,ANSP 130418
dc1fe71d-1ed3-11e3-bfac-90b11c41863e,ANSP 130419
dc1ccc2a-1ed3-11e3-bfac-90b11c41863e,ANSP 130420
dc1caf60-1ed3-11e3-bfac-90b11c41863e,ANSP 130421
dc1be70e-1ed3-11e3-bfac-90b11c41863e,ANSP 130422
dc1bc5a4-1ed3-11e3-bfac-90b11c41863e,ANSP 130423
dc1bd811-1ed3-11e3-bfac-90b11c41863e,ANSP 130424
dc1630ba-1ed3-11e3-bfac-90b11c41863e,ANSP 130425
dc162db6-1ed3-11e3-bfac-90b11c41863e,ANSP 130426
dc16243a-1ed3-11e3-bfac-90b11c41863e,ANSP 130427
dc1efb09-1ed3-11e3-bfac-90b11c41863e,ANSP 130428
dc1ef54f-1ed3-11e3-bfac-90b11c41863e,ANSP 130429
dc1eef8b-1ed3-11e3-bfac-90b11c41863e,ANSP 130430
dc1a96bf-1ed3-11e3-bfac-90b11c41863e,ANSP 130431
dc1a711d-1ed3-11e3-bfac-90b11c41863e,ANSP 130432
dc1a8228-1ed3-11e3-bfac-90b11c41863e,ANSP 130433
dc1f7a62-1ed3-11e3-bfac-90b11c41863e,ANSP 130435
dc1f7d72-1ed3-11e3-bfac-90b11c41863e,ANSP 130436
dc2182ff-1ed3-11e3-bfac-90b11c41863e,"ANSP 130437, 130438, 139739"
dc166506-1ed3-11e3-bfac-90b11c41863e,ANSP 130439
dc1ed6da-1ed3-11e3-bfac-90b11c41863e,ANSP 130441
dc1cc418-1ed3-11e3-bfac-90b11c41863e,ANSP 130442
dc1c6a5a-1ed3-11e3-bfac-90b11c41863e,ANSP 130444
dc1c5f79-1ed3-11e3-bfac-90b11c41863e,ANSP 130445
dc1c6e03-1ed3-11e3-bfac-90b11c41863e,ANSP 130447
dc1c7903-1ed3-11e3-bfac-90b11c41863e,ANSP 130448
dc1c71b1-1ed3-11e3-bfac-90b11c41863e,ANSP 130449
dc2043f4-1ed3-11e3-bfac-90b11c41863e,ANSP 130450
dc2033cd-1ed3-11e3-bfac-90b11c41863e,ANSP 130451
dc205a89-1ed3-11e3-bfac-90b11c41863e,ANSP 130452
dc20678b-1ed3-11e3-bfac-90b11c41863e,"ANSP 130453, 158168"
dc20bfd4-1ed3-11e3-bfac-90b11c41863e,ANSP 130454
dc20ce5d-1ed3-11e3-bfac-90b11c41863e,ANSP 130455
dc2095d6-1ed3-11e3-bfac-90b11c41863e,ANSP 130456
dc20a317-1ed3-11e3-bfac-90b11c41863e,ANSP 130457
dc20b4e7-1ed3-11e3-bfac-90b11c41863e,ANSP 130458
dc20ad6d-1ed3-11e3-bfac-90b11c41863e,ANSP 130459
dc208209-1ed3-11e3-bfac-90b11c41863e,ANSP 130460
dc207ebd-1ed3-11e3-bfac-90b11c41863e,ANSP 130461
dc213fb1-1ed3-11e3-bfac-90b11c41863e,ANSP 130463
dc1e881e-1ed3-11e3-bfac-90b11c41863e,ANSP 130464
dc1b17d0-1ed3-11e3-bfac-90b11c41863e,ANSP 130465
dc1adcb5-1ed3-11e3-bfac-90b11c41863e,ANSP 130466
dc1b1b1e-1ed3-11e3-bfac-90b11c41863e,ANSP 130467
dc1adfee-1ed3-11e3-bfac-90b11c41863e,ANSP 130468
dc1ad307-1ed3-11e3-bfac-90b11c41863e,ANSP 130470
dc19bdff-1ed3-11e3-bfac-90b11c41863e,ANSP 130471
dc19a1ef-1ed3-11e3-bfac-90b11c41863e,ANSP 130472
dc1c840d-1ed3-11e3-bfac-90b11c41863e,ANSP 130473
dc19ab70-1ed3-11e3-bfac-90b11c41863e,ANSP 130475
dc1d5b33-1ed3-11e3-bfac-90b11c41863e,ANSP 130477
dc1b46e7-1ed3-11e3-bfac-90b11c41863e,ANSP 130478
dc1b4a43-1ed3-11e3-bfac-90b11c41863e,ANSP 130479
dc1aab6a-1ed3-11e3-bfac-90b11c41863e,ANSP 130483
dc1aa7f1-1ed3-11e3-bfac-90b11c41863e,ANSP 130484
dc2026bd-1ed3-11e3-bfac-90b11c41863e,ANSP 130487
dc20203c-1ed3-11e3-bfac-90b11c41863e,ANSP 130488
dc1c9f5f-1ed3-11e3-bfac-90b11c41863e,ANSP 130489
dc1ca75c-1ed3-11e3-bfac-90b11c41863e,ANSP 130490
dc1fcfbf-1ed3-11e3-bfac-90b11c41863e,ANSP 130491
dc16b423-1ed3-11e3-bfac-90b11c41863e,ANSP 130493
dc16a08f-1ed3-11e3-bfac-90b11c41863e,ANSP 130494
dc16ca51-1ed3-11e3-bfac-90b11c41863e,ANSP 130495
dc1c9330-1ed3-11e3-bfac-90b11c41863e,ANSP 130497
dc1a159a-1ed3-11e3-bfac-90b11c41863e,ANSP 130498
dc1c8b76-1ed3-11e3-bfac-90b11c41863e,ANSP 130498
dc16e655-1ed3-11e3-bfac-90b11c41863e,ANSP 130499
dc16f16e-1ed3-11e3-bfac-90b11c41863e,ANSP 130500
dc16f442-1ed3-11e3-bfac-90b11c41863e,ANSP 130501
dc163690-1ed3-11e3-bfac-90b11c41863e,ANSP 130503
dc1fb22e-1ed3-11e3-bfac-90b11c41863e,ANSP 130504
dc19f7c3-1ed3-11e3-bfac-90b11c41863e,ANSP 130507
dc1a09ab-1ed3-11e3-bfac-90b11c41863e,ANSP 130508
dc1ab94b-1ed3-11e3-bfac-90b11c41863e,ANSP 130511
dc1a36ac-1ed3-11e3-bfac-90b11c41863e,ANSP 130512
dc1a1e98-1ed3-11e3-bfac-90b11c41863e,ANSP 130513
dc1a1b97-1ed3-11e3-bfac-90b11c41863e,ANSP 130514
dc1a2da4-1ed3-11e3-bfac-90b11c41863e,ANSP 130515
dc1acfce-1ed3-11e3-bfac-90b11c41863e,ANSP 130516
dc1b3011-1ed3-11e3-bfac-90b11c41863e,ANSP 130519
dc1b3366-1ed3-11e3-bfac-90b11c41863e,ANSP 130520
dc1b36bd-1ed3-11e3-bfac-90b11c41863e,ANSP 130521
dc1b3a12-1ed3-11e3-bfac-90b11c41863e,ANSP 130522
dc167fe6-1ed3-11e3-bfac-90b11c41863e,ANSP 130523
dc167274-1ed3-11e3-bfac-90b11c41863e,ANSP 130524
dc167a82-1ed3-11e3-bfac-90b11c41863e,ANSP 130525
dc166a5e-1ed3-11e3-bfac-90b11c41863e,ANSP 130526
dc160462-1ed3-11e3-bfac-90b11c41863e,ANSP 130528
dc160d93-1ed3-11e3-bfac-90b11c41863e,ANSP 130529
dc160967-1ed3-11e3-bfac-90b11c41863e,ANSP 130530
dc15f409-1ed3-11e3-bfac-90b11c41863e,ANSP 130531
dc16004b-1ed3-11e3-bfac-90b11c41863e,ANSP 130532
dc163c5d-1ed3-11e3-bfac-90b11c41863e,ANSP 130533
dc1ac95e-1ed3-11e3-bfac-90b11c41863e,ANSP 130535
dc164509-1ed3-11e3-bfac-90b11c41863e,ANSP 130536
dc1c0221-1ed3-11e3-bfac-90b11c41863e,ANSP 130539
dc1ec761-1ed3-11e3-bfac-90b11c41863e,ANSP 130540
dc1eca7c-1ed3-11e3-bfac-90b11c41863e,ANSP 130541
dc1eb4cb-1ed3-11e3-bfac-90b11c41863e,ANSP 130542
dc1654ef-1ed3-11e3-bfac-90b11c41863e,ANSP 130543
dc164d02-1ed3-11e3-bfac-90b11c41863e,ANSP 130544
dc165cf7-1ed3-11e3-bfac-90b11c41863e,ANSP 130545
dc223495-1ed3-11e3-bfac-90b11c41863e,ANSP 130546
dc220e4e-1ed3-11e3-bfac-90b11c41863e,ANSP 130547
dc2225f5-1ed3-11e3-bfac-90b11c41863e,ANSP 130548
dc1d2c62-1ed3-11e3-bfac-90b11c41863e,ANSP 130559
dc169859-1ed3-11e3-bfac-90b11c41863e,ANSP 130560
dc168554-1ed3-11e3-bfac-90b11c41863e,ANSP 130562
dc16902f-1ed3-11e3-bfac-90b11c41863e,ANSP 130563
dc1ac62b-1ed3-11e3-bfac-90b11c41863e,ANSP 130564
dc229b3e-1ed3-11e3-bfac-90b11c41863e,ANSP 130565
dc22a705-1ed3-11e3-bfac-90b11c41863e,ANSP 130565
dc1d05d1-1ed3-11e3-bfac-90b11c41863e,ANSP 130567
dc1b7d22-1ed3-11e3-bfac-90b11c41863e,ANSP 130568
dc1b654e-1ed3-11e3-bfac-90b11c41863e,ANSP 130569
dc1e6761-1ed3-11e3-bfac-90b11c41863e,ANSP 130570
dc1e5918-1ed3-11e3-bfac-90b11c41863e,ANSP 130571
dc1d4796-1ed3-11e3-bfac-90b11c41863e,ANSP 130572
dc1e4e3b-1ed3-11e3-bfac-90b11c41863e,ANSP 130573
dc1c1b1e-1ed3-11e3-bfac-90b11c41863e,ANSP 130574
dc1c2243-1ed3-11e3-bfac-90b11c41863e,ANSP 130575
dc1e26a4-1ed3-11e3-bfac-90b11c41863e,ANSP 130576
dc1ceb07-1ed3-11e3-bfac-90b11c41863e,ANSP 130577
dc1ceed9-1ed3-11e3-bfac-90b11c41863e,ANSP 130578
dc1b9dad-1ed3-11e3-bfac-90b11c41863e,ANSP 130579
dc1b8ba9-1ed3-11e3-bfac-90b11c41863e,ANSP 130580
dc1e48cb-1ed3-11e3-bfac-90b11c41863e,ANSP 130583
dc1e4357-1ed3-11e3-bfac-90b11c41863e,ANSP 130584
dc219869-1ed3-11e3-bfac-90b11c41863e,ANSP 130587
dc1b9291-1ed3-11e3-bfac-90b11c41863e,ANSP 130589
dc1f90a7-1ed3-11e3-bfac-90b11c41863e,ANSP 130591
dc1fc674-1ed3-11e3-bfac-90b11c41863e,ANSP 130592
dc1fccaa-1ed3-11e3-bfac-90b11c41863e,ANSP 130593
dc1e8ae1-1ed3-11e3-bfac-90b11c41863e,ANSP 130594
dc21ae3a-1ed3-11e3-bfac-90b11c41863e,ANSP 130596
dc21b223-1ed3-11e3-bfac-90b11c41863e,ANSP 130597
dc21c450-1ed3-11e3-bfac-90b11c41863e,ANSP 130598
dc1e98ad-1ed3-11e3-bfac-90b11c41863e,ANSP 130599
dc219c08-1ed3-11e3-bfac-90b11c41863e,"ANSP 130602, 130603"
dc1e9061-1ed3-11e3-bfac-90b11c41863e,ANSP 130607
dc1e95ee-1ed3-11e3-bfac-90b11c41863e,ANSP 130607
dc1f93c2-1ed3-11e3-bfac-90b11c41863e,ANSP 130608
dc1ee34f-1ed3-11e3-bfac-90b11c41863e,ANSP 130611
dc1d5358-1ed3-11e3-bfac-90b11c41863e,ANSP 130612
dc1ea6d6-1ed3-11e3-bfac-90b11c41863e,ANSP 130613
dc5741a1-1ed3-11e3-bfac-90b11c41863e,ANSP 131480
dc573b09-1ed3-11e3-bfac-90b11c41863e,ANSP 131555
dc573d67-1ed3-11e3-bfac-90b11c41863e,ANSP 131598
dc5735d1-1ed3-11e3-bfac-90b11c41863e,ANSP 131852
dc5731e0-1ed3-11e3-bfac-90b11c41863e,ANSP 131865
dc5729ce-1ed3-11e3-bfac-90b11c41863e,ANSP 133034
dc572493-1ed3-11e3-bfac-90b11c41863e,ANSP 133127
dc573e77-1ed3-11e3-bfac-90b11c41863e,ANSP 133340
dc572175-1ed3-11e3-bfac-90b11c41863e,ANSP 133353
dc572c63-1ed3-11e3-bfac-90b11c41863e,ANSP 133889
dc5727b2-1ed3-11e3-bfac-90b11c41863e,ANSP 134443
dc57227e-1ed3-11e3-bfac-90b11c41863e,ANSP 134449
dc573333-1ed3-11e3-bfac-90b11c41863e,ANSP 134830
dc21f6c7-1ed3-11e3-bfac-90b11c41863e,ANSP 135577
dc21eba6-1ed3-11e3-bfac-90b11c41863e,ANSP 135580
dc574b1a-1ed3-11e3-bfac-90b11c41863e,ANSP 135604
dc574ee9-1ed3-11e3-bfac-90b11c41863e,ANSP 135608
dc574dd9-1ed3-11e3-bfac-90b11c41863e,ANSP 135618
dc574900-1ed3-11e3-bfac-90b11c41863e,ANSP 135675
dc5747f2-1ed3-11e3-bfac-90b11c41863e,ANSP 135738
dc574cbd-1ed3-11e3-bfac-90b11c41863e,ANSP 135877
dc571f5d-1ed3-11e3-bfac-90b11c41863e,ANSP 136021
dc5750fb-1ed3-11e3-bfac-90b11c41863e,ANSP 139610
dc571913-1ed3-11e3-bfac-90b11c41863e,ANSP 139814
dc5715e7-1ed3-11e3-bfac-90b11c41863e,ANSP 140655
dc5714d7-1ed3-11e3-bfac-90b11c41863e,ANSP 140693
dc574a0b-1ed3-11e3-bfac-90b11c41863e,ANSP 141591
dc574ff3-1ed3-11e3-bfac-90b11c41863e,ANSP 146199
dc5744c9-1ed3-11e3-bfac-90b11c41863e,ANSP 146686
dc5743ba-1ed3-11e3-bfac-90b11c41863e,ANSP 147051
dc5742b0-1ed3-11e3-bfac-90b11c41863e,ANSP 147058
dc670683-1ed3-11e3-bfac-90b11c41863e,ANSP 148041
dc1d09a4-1ed3-11e3-bfac-90b11c41863e,ANSP 149090
dc1d190c-1ed3-11e3-bfac-90b11c41863e,ANSP 149091
dc1d1ce9-1ed3-11e3-bfac-90b11c41863e,ANSP 149092
dc2272b8-1ed3-11e3-bfac-90b11c41863e,ANSP 159092
dc0f0610-1ed3-11e3-bfac-90b11c41863e,ANSP 159094
dc16397a-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1667b2-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc19deaf-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1a129c-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1abc82-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1ac2f6-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1b0df6-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1b50fc-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1c5bd6-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1c7cac-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1cdfa0-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1cfa4a-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1d6319-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1e9e34-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1eac6c-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1ed9f9-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1f2f4f-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1f352f-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1f4139-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1f9b29-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc1fb922-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc217f64-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc219fab-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc21c7fa-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc226734-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc22ba98-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dc22be87-1ed3-11e3-bfac-90b11c41863e,ANSP ??????
dbf1f321-1ed3-11e3-bfac-90b11c41863e,ASU 63-135
dbf1f42c-1ed3-11e3-bfac-90b11c41863e,ASU 64-716
dbf1f535-1ed3-11e3-bfac-90b11c41863e,ASU 64-725
dbf1f63f-1ed3-11e3-bfac-90b11c41863e,ASU 64-731
dc522a59-1ed3-11e3-bfac-90b11c41863e,AU 14369
dc522564-1ed3-11e3-bfac-90b11c41863e,AU 6801
dbf2501e-1ed3-11e3-bfac-90b11c41863e,BS/ZD KU 262
2cd6c50c-1d6c-4cd1-b737-7911b637d9c9,C
dc506596-1ed3-11e3-bfac-90b11c41863e,CAS 18617
dbc45b76-1ed3-11e3-bfac-90b11c41863e,CAS 18798
dbc45c82-1ed3-11e3-bfac-90b11c41863e,CAS 18798
dbc46aca-1ed3-11e3-bfac-90b11c41863e,CAS 18798
dc62e295-1ed3-11e3-bfac-90b11c41863e,CAS 20607
dc107608-1ed3-11e3-bfac-90b11c41863e,CAS 20608
dc2bcc2d-1ed3-11e3-bfac-90b11c41863e,CAS 20609
dcb2a990-1ed3-11e3-bfac-90b11c41863e,CAS 219297
dcab7ffa-1ed3-11e3-bfac-90b11c41863e,CAS 222402
dcc1f214-1ed3-11e3-bfac-90b11c41863e,CAS 222403
db499a91-1ed3-11e3-bfac-90b11c41863e,CAS 222404
db6059f2-1ed3-11e3-bfac-90b11c41863e,CAS 222405
dcbece83-1ed3-11e3-bfac-90b11c41863e,CAS 223463
db1ad9c7-1ed3-11e3-bfac-90b11c41863e,CAS 223972
dcb263c6-1ed3-11e3-bfac-90b11c41863e,CAS 223973
db67c454-1ed3-11e3-bfac-90b11c41863e,CAS 223974
dcc86a30-1ed3-11e3-bfac-90b11c41863e,CAS 223975
dcd8a036-1ed3-11e3-bfac-90b11c41863e,CAS 225489
dcc6da1e-1ed3-11e3-bfac-90b11c41863e,CAS 225494
dc5068bb-1ed3-11e3-bfac-90b11c41863e,CAS 22924
1b11a31d-a31d-4bda-ac72-12485602b06e,CAS 237815
9d69d387-2092-4278-a624-cbe756eba383,CAS 237816
46f9c764-6985-492f-ba38-a4f65dfef42f,CAS 237817
dc5069cf-1ed3-11e3-bfac-90b11c41863e,CAS 23906
ab7ed08d-65cb-44c2-9ddd-b07a24212d7d,CAS 243557
a13276fb-1db3-443a-81d8-3d793affa016,CAS 243558
5ce7c71c-3743-482f-b0ac-8fcb488d7afd,CAS 243958
5f4c9643-d924-4b07-b72a-adc3e94a2586,CAS 243959
81cf03df-68d6-4292-8c51-6f38d0f3e04b,CAS 243960
bd8cc664-28fe-4e1d-ba34-7275fc421bc7,CAS 243961
37bf5ffd-7e20-4396-a121-a197e91f6dd5,CAS 243962
806c30f8-5a13-4290-8f0f-d9334489114a,CAS 243963
39348b8a-97e0-486c-9af4-c3eefc3edb41,CAS 243964
21f74225-169b-46fd-b0ab-c2f18bd0f93b,CAS 243965
941b48e1-2f42-4238-86c2-a846e17aa849,CAS 243966
fb6ba740-64d1-453f-a33d-fe4e66f12a48,CAS 243967
0e366143-4630-47b3-93b1-4a2174a4002e,CAS 244071
dc50669b-1ed3-11e3-bfac-90b11c41863e,CAS 25141
dc5067ad-1ed3-11e3-bfac-90b11c41863e,CAS 47944
dc506adc-1ed3-11e3-bfac-90b11c41863e,CAS 47945
dc50648a-1ed3-11e3-bfac-90b11c41863e,CAS 68780
1775c480-4add-48fe-8374-4e719342d210,CAS uncat.
dc50e41a-1ed3-11e3-bfac-90b11c41863e,CU 11791
dc50b3b5-1ed3-11e3-bfac-90b11c41863e,CU 12059
dc50e62e-1ed3-11e3-bfac-90b11c41863e,CU 14070
dc50d32d-1ed3-11e3-bfac-90b11c41863e,CU 14073
dc50bd2d-1ed3-11e3-bfac-90b11c41863e,CU 14624
dc50d43c-1ed3-11e3-bfac-90b11c41863e,CU 16885
dc50e0f5-1ed3-11e3-bfac-90b11c41863e,CU 17608
dc50dfe8-1ed3-11e3-bfac-90b11c41863e,CU 19285
dc50c24a-1ed3-11e3-bfac-90b11c41863e,CU 19378
dc50d771-1ed3-11e3-bfac-90b11c41863e,CU 20891
dc50e843-1ed3-11e3-bfac-90b11c41863e,CU 21170
dc50ea5b-1ed3-11e3-bfac-90b11c41863e,CU 21423
dc50e94c-1ed3-11e3-bfac-90b11c41863e,CU 22290
dc50dede-1ed3-11e3-bfac-90b11c41863e,CU 22297
dc50cfe7-1ed3-11e3-bfac-90b11c41863e,CU 23859
dc50b844-1ed3-11e3-bfac-90b11c41863e,CU 24825
dc50e524-1ed3-11e3-bfac-90b11c41863e,CU 24845
dc50dcbf-1ed3-11e3-bfac-90b11c41863e,CU 25971
dc7ca7bf-1ed3-11e3-bfac-90b11c41863e,CU 25982-10
dc50d21b-1ed3-11e3-bfac-90b11c41863e,CU 27943
dc50e30e-1ed3-11e3-bfac-90b11c41863e,CU 32959
dc50ee89-1ed3-11e3-bfac-90b11c41863e,CU 35089
dc50ed77-1ed3-11e3-bfac-90b11c41863e,CU 37461
dc50ef91-1ed3-11e3-bfac-90b11c41863e,CU 4667
dc50d10c-1ed3-11e3-bfac-90b11c41863e,CU 47594
