"llaveejemplar","location_id","parent_location_id","higher_geography_id","higher_geography","continent","waterbody","islandgroup","island","nombrepaismapa","country_code","state_province","county","municipality","locality","minimum_elevation_in_meters","maximum_elevation_in_meters","minimum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","minimum_depth_in_meters","maximum_depth_in_meters","vertical_datum","location_according_to","location_remarks","accepted_georreference_id","accepted_georreference_context_id"
"3822ffb50376a4c8c1a3f1b6caa7c39c","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TENAMPULCO","","Santa Lucia","","","80.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"383b383717372ac24b9fb9081128337c","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TENAMPULCO","","Cerca de El Chacal","","","92.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"384f3e6f6ad1b68dee22085486f1cb20","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Cerro Zapotecas"", ""tipo"":""Estatal"", ""distancia"":""0.827 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","SAN PEDRO CHOLULA","","Cerca de San Agustín Calvario","","","2086.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"386895bf41aa399bc99294377c42122e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CHICONTEPEC","","Cerca de La Ceiba","","","194.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"38795da5e3bd6734e1a20b80bccdce02","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Sierra del Tentzo"", ""tipo"":""Estatal"", ""distancia"":""4.673 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","HUAQUECHULA","","Cacaloxochitl","","","1615.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"387e4eb96a0518e0a32b7983623734bb","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","COATZINTLA","","Rancho Nuevo","","","221.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"389e248de147e920473329be94cc18af","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZAPOTITLAN DE MENDEZ","","Cerca de Nanacatlán","","","842.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"38cb406421a7a7ea421b18a3dd73a5fe","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","COATZINTLA","","Guadalupe Victoria","","","109.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"38d9cd72681b7a9775cc553a35233425","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZACAPOAXTLA","","Ixtacapan","","","2333.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"39115f257ad5800cf401753dbe8c42ab","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","MAZAPILTEPEC DE JUAREZ","","San Martín Rinconada","","","2355.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3936462690d51f5289f31c21e348b08c","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","CHIGNAHUAPAN","","Michal","","","2248.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"395ad2a3c2b2fa32c9cca0ac4ef6b752","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","PAPANTLA","","Paso de Valencia","","","59.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3990565dd9877096f1cbe694b12d7de3","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Los Naranjos, camino Salto de Eyipantla-Abrevadero","","","78.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"39921d466680c18907e06bc8f05e702f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","COSCOMATEPEC","","Mirador Isotitla","","","1829.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"39a37246627ae93560e333a223bdf12a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","HUEYAPAN DE OCAMPO","","La Esperanza, camino Santa Rosa Cintepec-Juan Díaz Cobarruvias","","","171.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3a542d0c7d447f4a1a8d7b7630474f32","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Pizapan, carretera San Andrés-Tilapan desviación Los Mérida","","","107.01","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3aa0a98908a31d6db9421b49267c6388","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","NOPALUCAN","","Colonia Eréndira","","","2390.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3aa65436726723ac57dcc775ba3a962a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CHICONTEPEC","","Cerca de Sesaltitla","","","299.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3aae61c2f59c9cb2c4f015c0231dfd02","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","LIBRES","","Barrio de Ahuateno","","","2488.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3b5327bd81439518b915a203fa606121","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","La Redonda, camino Tilapan-Río Tuxtla","","","71.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3b9041c8382e76bb29f22ad5e3921c38","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Z.P.F.V. la Cuenca Hidrográfica del Río Necaxa"", ""tipo"":""Federal"", ""distancia"":""2.218 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","AHUAZOTEPEC","","Totolapa","","","2182.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3bc5772100d402604a94e86e99431b22","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ORIENTAL","","Oriental","","","2278.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3cebde7aedd25b5b679f0abbe7ca7a6c","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZACAPOAXTLA","","Texocoyo","","","2333.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3d1f9845584a9abf99baaa896153470d","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZACATLAN","","La Cumbre","","","2133.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3d2ca1cc437b39a8a5607106ebb2c4ac","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CASTILLO DE TEAYO","","El Xuchitl","","","67.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3dc5083958ecc1e50358e71da3e59644","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","XICO","","Xico viejo, carretera Xico-Matlalapa","","","1755.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3dcc01324fad4665a9973c6eb26ad5bf","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZACATLAN","","Cerca de Nanacamila","","","2312.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3e49e602d35656ac74922a9c11c4a226","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","MILTEPEC","","","200.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3e68d9e7e61a0560b47e67226c3e5a9a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Sierra del Tentzo"", ""tipo"":""Estatal"", ""distancia"":""4.856 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","HUAQUECHULA","","Cacaloxochitl","","","1633.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3ec2eca0ff1aa0fdd6516353f1c1ec2f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","JESUS CARRANZA","","Vista Hermosa, ejido Vista Hermosa","","","20.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3ecd11560b82e4e09c8332a2c0c617dc","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","LIBRES","","Cosmaco","","","2389.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3ef7be337715df893faf8b69c531b239","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Chuniapan de Arriba, comunidad Chuniapan de Arriba","","","160.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3f20e73be1a618d93a7fae7f25d26e79","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","LIBRES","","Cuautzolco","","","2405.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3f51db340c71a293d491c6368f70b186","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZOQUIAPAN","","AMATLAN","","","192.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3f6f15e7e63ba59d266ec507fe2d1a27","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CATEMACO","","San Juan Seco de Valencia","","","414.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3fcb8c66cbbc41462b0d5472e6d7eebf","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Parque Estatal de la Sierra de Tabasco: Sierra Madrigal"", ""tipo"":""Estatal"", ""distancia"":""0 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","TABASCO","TACOTALPA","","Ejido Emiliano Zapata, Subregión de la Sierra","","","68.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3fea938e4791ccfb25c950efc9a286f1","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","HUEHUETLAN EL CHICO","","Tzicatlán","","","996.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"401018636e972d0b6d70a89c75104c77","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CHICONTEPEC","","Chalahuiapa, en el ejido de Chalahuayapan","","","225.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"406911ce567d4c6e081343047a7cfb10","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","LIBRES","","Barrio San Miguel","","","2347.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"407ffc6af80d3826653d494ace79e23e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Z.P.F.V. la Cuenca Hidrográfica del Río Necaxa"", ""tipo"":""Federal"", ""distancia"":""3.171 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","AHUAZOTEPEC","","Temazcales","","","2135.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"409791c5e409794c02b274090347c0a7","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","SOLTEPEC","","XICOTENCATL","","","2378.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"40f8afe1ef5c40a122e3cb252988a0af","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Los Tuxtlas"", ""tipo"":""Federal"", ""distancia"":""0 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","MECAYAPAN","","Encino Amarillo, camino Tatahicapan-Plan Agrario","","","379.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"412080c85a8ed8318ce73d50c8844042","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","SAN JUAN ATENCO","","Atenco","","","2437.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4122e9206134215ea20a660588fb7c3b","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CATEMACO","","La Candelaria, carretera Catemaco-Juan Díaz Covarrubias","","","464.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"41341837b6b5129d930bfb89b946b85c","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","COSCOMATEPEC","","Zacatlapa","","","1818.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"413edf4feb6e3aca9c2bb42c12142f7a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","CUYOACO","","Cuyoaco","","","2456.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4198620e0c2d16f3939571562cf4bb17","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Apixita, carretera Tilapa-Río Tuxtla","","","45.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"41bfc251ad031fc03d781bd38a8b09e8","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","CHIGNAHUAPAN","","Tenextla","","","2241.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"41ccde7ac147d010a571ffd42d833302","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TENAMPULCO","","Poza Verde","","","155.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4231e60d679922f331db1aedc43492ac","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","CUYOACO","","El Carmen","","","2201.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"42366bfc12955cd7adb933020ffd3479","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","SAN SALVADOR EL SECO","","Paso Puente Santana","","","2400.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4241ce0ab6e56007ba75bb3d2ddcd39d","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","HUEYAPAN DE OCAMPO","","Santa Rosa Cintepec. Carretera San Andrés-Acayucan, tramo Catemaco-Covarrubias","","","499.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"42503bb4abac15410552938342062d80","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Los Naranjos, carretera San Andrés-Los Naranjos","","","63.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"427cd9c0916430911f9537510fc87da0","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Chuniapan de Abajo, carretera El Salto-Abrevadero","","","98.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4297bb075eb56cc26a1a9642b2cc5963","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","AYOTOXCO DE GUERRERO","","Rancho Nuevo","","","198.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4351d6708c0e57f0744a63751ef8626e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Pico de Orizaba"", ""tipo"":""Federal"", ""distancia"":""2.94 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","COSCOMATEPEC","","Cuiyachapa","","","2608.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4363d98204554dfb3f7d19d20451c5bb","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","PAPANTLA","","Vista Hermosa","","","118.29","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"4391149357bc196229516690bf64d1ca","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TENAMPULCO","","Cerca de El Palmar","","","54.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"43cd265071c11e37d633ff1aef5380e7","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","PAPANTLA","","Pueblillo, comunidad Pueblillo","","","74.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"43cf572c254aa727e46a2a8b60479bdd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","HUEYAPAN DE OCAMPO","","Santa Rosa Cintepec","","","483.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
